specObjID,bestObjID,plate,mjd,fiberID,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,elodieObject,elodieSpType,elodieBV,elodieTEff,elodieLogG,elodieFeH
5140003648399757312,1237660636530671815,4565,55591,984,A5II (34578),151.6164,43.14169,21.45604,20.27499,20.05351,19.9871,19.96849,HD049368,S...,1.756,3700,1,-0.45
5140908822001635328,1237661851458469932,4566,55630,181,A5II (34578),151.4294,40.13941,22.50079,21.54146,21.55885,21.39904,20.95238,HD028343,K7V,1.363,3900,4.232,0.17
5147666145453821952,1237661850382827832,4572,55622,188,A5II (34578),146.754,37.52387,22.13841,21.45348,21.36499,21.20573,21.07813,HD000245,G2V,0.539,5373,4.37,-1.08
5151145549463048192,1237661850918715715,4575,55590,558,A5II (34578),143.9069,36.97659,22.55831,21.86971,21.7701,21.61347,21.17612,HD000693,F5V,0.429,6180,4.11,-0.41
5151223065032806400,1237660763770454348,4575,55590,840,A5II (34578),145.5913,36.89744,22.78307,21.77923,21.74517,21.62475,21.60512,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
5152311031822045184,1237660342861431033,4576,55592,702,A5II (34578),142.1428,37.69409,21.52052,20.54081,20.50084,20.29684,20.16537,HD016458,G8p...,1.323,4547,1.93,-0.33
5188400308372656128,1237658200201888050,4608,55973,922,A5II (34578),136.1418,37.98162,21.35925,20.66199,20.45269,20.36056,20.08319,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5189499824664498176,1237657628975432834,4609,56251,826,A5II (34578),132.5712,38.08754,22.77096,21.91844,21.72742,21.79196,21.59555,HD001227,G8II-III,0.895,5063,2.65,0.25
5190574586711003136,1237665025977417996,4610,55621,640,A5II (34578),181.0414,35.73239,21.87607,21.19634,20.97962,21.00419,20.82951,HD002796,Fw,0.647,4949,1.32,-2.32
5196204635950698496,1237664337714741498,4615,55618,642,A5II (34578),172.8417,36.5358,21.58168,21.04269,20.77914,20.79421,20.75313,HD028343,K7V,1.363,3900,4.232,0.17
5196243118857670656,1237664819284214488,4615,55618,782,A5II (34578),173.6584,37.34783,23.02897,21.33353,21.16042,20.87369,21.08535,HD002796,Fw,0.647,4949,1.32,-2.32
5198319546549948416,1237662223526068399,4617,55617,144,A5II (34578),171.6401,37.96637,21.19822,20.48738,20.35226,20.31319,20.49065,HD028343,K7V,1.363,3900,4.232,0.17
5200560350945366016,1237665023826854015,4619,55599,104,A5II (34578),172.7349,33.43004,23.73169,21.77623,21.48547,21.56045,21.66281,HD001227,G8II-III,0.895,5063,2.65,0.25
5202810502330470400,1237664668440264818,4621,55649,98,A5II (34578),169.1953,38.85835,21.2769,20.30165,20.13834,20.07012,19.87789,HD036395,M1V,1.474,3705,4.8,0.6
5209610706484482048,1237665129074262244,4627,55626,261,A5II (34578),166.7809,34.23932,21.28774,20.4017,20.28715,20.31485,20.23537,HD057651,0,1.633,3714,1.49,-0.57
5209614279897272320,1237665129611198626,4627,55626,274,A5II (34578),166.8801,34.50462,23.0103,21.28852,20.98932,20.9438,20.63011,HD095735,M2V,1.502,3717,4.89,-0.2
5209634071106572288,1237665017386828248,4627,55626,346,A5II (34578),166.5074,34.2816,22.71741,21.95983,22.02348,21.78858,21.62279,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5210896860546617344,1237661871859565239,4628,55646,844,A5II (34578),162.8102,42.09927,22.58762,21.5183,21.40212,21.36623,21.05026,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5211904562685038592,1237661136889053479,4629,55630,414,A5II (34578),161.9403,39.22339,22.23958,21.55071,21.5597,21.29195,21.73411,HD001227,G8II-III,0.895,5063,2.65,0.25
5211918031702478848,1237661136888856871,4629,55630,463,A5II (34578),161.3145,39.05948,21.90265,21.15672,20.9762,20.96177,20.81519,HD001227,G8II-III,0.895,5063,2.65,0.25
5211930401208291328,1237661383314964808,4629,55630,508,A5II (34578),160.9342,40.04552,22.06271,20.81293,20.59396,20.5401,20.38162,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
5212029357254791168,1237662195056312797,4629,55630,868,A5II (34578),163.4129,40.74012,22.15815,21.36637,21.37565,21.10266,21.10122,HD009927,K3III,1.299,4395,2.11,-0.01
5219851288259612672,1237660343937401336,4636,55945,652,A5II (34578),147.3929,40.96181,22.44347,21.6271,21.46534,21.45826,21.25771,HD000245,G2V,0.539,5373,4.37,-1.08
5219889221410770944,1237660636529426596,4636,55945,790,A5II (34578),148.2284,41.86666,20.85566,19.72684,19.73819,19.71698,19.61959,HD016458,G8p...,1.323,4547,1.93,-0.33
5221938161513680896,1237658203962212682,4638,55956,52,A5II (34578),145.3729,41.90428,21.09369,20.28076,20.1691,20.04108,19.86998,HD009927,K3III,1.299,4395,2.11,-0.01
5228718299395936256,1237660764842230212,4644,55922,142,A5II (34578),140.272,35.45372,21.96821,21.56772,21.40619,21.2964,21.02345,BD+233130,G0,0.563,5100,2.97,-2.62
5228818354954063872,1237660343396729160,4644,55922,506,A5II (34578),137.9916,36.36492,21.92767,20.64329,20.43912,20.31126,20.32777,HD005234,K2III,1.226,4318,1.76,-0.25
5231009126839242752,1237665126930055868,4646,55622,284,A5II (34578),176.0301,33.60083,24.2451,21.92639,21.75986,21.72466,21.68328,HD002796,Fw,0.647,4949,1.32,-2.32
5231010776106684416,1237665127467057447,4646,55622,290,A5II (34578),176.2391,33.89622,24.93504,21.92942,21.62247,21.40459,21.16507,HD001227,G8II-III,0.895,5063,2.65,0.25
5233237288008568832,1237664338788811269,4648,55673,198,A5II (34578),173.6179,37.38613,23.81654,21.42743,21.29005,21.13647,22.13148,HD036395,M1V,1.474,3705,4.8,0.6
5233457740089937920,1237664820358414868,4648,55673,1000,A5II (34578),174.864,38.21902,22.48242,20.961,20.6746,20.58087,20.60338,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
5235602337100484608,1237664337179705525,4650,55648,610,A5II (34578),178.0577,36.57027,22.01931,21.23802,21.1185,20.95671,20.80529,HD001227,G8II-III,0.895,5063,2.65,0.25
5235610583437692928,1237664337179771082,4650,55648,640,A5II (34578),178.2592,36.62081,21.97191,21.31099,21.14676,20.94676,20.56958,HD002796,Fw,0.647,4949,1.32,-2.32
5239945957970563072,1237662224064970984,4654,55659,28,A5II (34578),177.6038,39.0025,21.54731,20.84348,20.69421,20.66866,20.46478,HD001227,G8II-III,0.895,5063,2.65,0.25
5240040515970551808,1237662223527313743,4654,55659,372,A5II (34578),175.2767,38.47184,22.42903,21.20437,20.95919,21.00322,21.06246,HD009927,K3III,1.299,4395,2.11,-0.01
5240148268110073856,1237664668979429687,4654,55659,764,A5II (34578),175.959,40.02383,21.87772,21.20753,21.06279,20.91147,20.69272,HD036395,M1V,1.474,3705,4.8,0.6
5241226888362610688,1237662193985520136,4655,55620,592,A5II (34578),172.3596,41.30426,22.58089,20.98681,20.76311,20.68381,20.47406,HD028343,K7V,1.363,3900,4.232,0.17
5244526522287804416,1237649918970495323,4658,55592,308,A5II (34578),26.11359,13.28236,23.36859,21.8849,21.75102,21.85198,21.305,HD001227,G8II-III,0.895,5063,2.65,0.25
5246699717069656064,1237678860089360773,4660,56191,22,A5II (34578),16.69965,12.98668,25.12361,22.03495,21.78787,21.41705,21.63011,HD001227,G8II-III,0.895,5063,2.65,0.25
5249151068160675840,1237678860630032982,4662,55590,748,A5II (34578),25.69917,12.798,22.69933,21.11447,20.82698,20.61129,20.54863,HD009927,K3III,1.299,4395,2.11,-0.01
5250140633709170688,1237678907863269516,4663,55893,252,A5II (34578),16.21799,10.77787,21.02398,20.38038,20.0835,19.94826,19.71,HD036395,M1V,1.474,3705,4.8,0.6
5252450712940728320,1237678860628066567,4665,56209,464,A5II (34578),21.00626,13.15916,21.85255,20.57667,20.35259,20.20328,20.11403,HD005234,K2III,1.226,4318,1.76,-0.25
5252583753847689216,1237649954404892839,4665,56209,948,A5II (34578),22.85555,14.69823,21.082,20.49317,20.26561,20.16472,19.91609,HD028343,K7V,1.363,3900,4.232,0.17
5254620593417113600,1237678918065324437,4667,55868,166,A5II (34578),18.94494,11.00381,22.26009,21.55497,21.3289,21.30002,20.78376,HD016458,G8p...,1.323,4547,1.93,-0.33
5273901085572222976,1237657771777458616,4684,56226,676,A5II (34578),132.1998,44.46187,23.16511,22.06094,22.0222,22.30095,21.62253,HD009927,K3III,1.299,4395,2.11,-0.01
5275040719828176896,1237661851463713121,4685,55657,726,A5II (34578),166.716,43.81634,21.9749,20.98353,20.76555,20.90738,20.77948,HD028343,K7V,1.363,3900,4.232,0.17
5280712000737136640,1237661357000556705,4690,55653,878,A5II (34578),162.2302,44.81876,22.09257,21.39847,21.32003,21.41526,21.31566,HD000245,G2V,0.539,5373,4.37,-1.08
5285221647611351040,1237658205574725902,4694,55649,900,A5II (34578),149.8611,45.03781,21.39227,20.54324,20.33433,20.37838,20.15015,HD009927,K3III,1.299,4395,2.11,-0.01
5287233215962304512,1237657629516890586,4696,56354,26,A5II (34578),143.53,44.48341,22.82869,21.55809,21.42364,21.37143,21.18177,HD009927,K3III,1.299,4395,2.11,-0.01
5288378895435059200,1237662224602694173,4697,55660,98,A5II (34578),180.0822,39.48426,23.3141,21.76558,21.63426,21.63928,21.50799,HD000245,G2V,0.539,5373,4.37,-1.08
5291885238838120448,1237662225139761346,4700,55709,566,A5II (34578),180.6125,39.94064,21.58136,21.13667,20.86833,20.8563,20.78216,HD000245,G2V,0.539,5373,4.37,-1.08
5291909977849745408,1237664667907457399,4700,55709,656,A5II (34578),181.2499,39.49336,21.68202,20.70585,20.57643,20.57789,20.43985,HD028343,K7V,1.363,3900,4.232,0.17
5292861055407771648,1237664673786167770,4701,55709,20,A5II (34578),185.4716,37.96904,23.58873,21.77547,21.50498,21.43207,21.23082,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5292884694907768832,1237664818751209909,4701,55709,106,A5II (34578),184.6669,37.40883,22.23833,21.79338,21.83473,21.76022,21.59037,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5294254135113437184,1237662194528747832,4702,55618,992,A5II (34578),191.7897,42.17747,25.16144,21.82471,21.84905,21.52983,21.00472,HD009927,K3III,1.299,4395,2.11,-0.01
5297537828049408000,1237662195600851475,4705,55705,650,A5II (34578),186.9006,43.26039,23.38023,21.84127,21.7333,21.72067,21.07373,HD173566,A0,0.035,8637,4.104,-0.62
5297548273409871872,1237662195600916954,4705,55705,688,A5II (34578),187.0695,43.24918,22.46679,21.5939,21.59718,21.51125,21.57847,HD009927,K3III,1.299,4395,2.11,-0.01
5299834157211602944,1237661966898561432,4707,55653,812,A5II (34578),201.1741,41.09717,22.81491,21.12616,20.89676,20.81879,20.73467,HD009927,K3III,1.299,4395,2.11,-0.01
5302006243556347904,1237662194533269630,4709,55720,522,A5II (34578),205.5645,40.54554,20.58079,19.53425,19.37803,19.34388,19.23889,HD001227,G8II-III,0.895,5063,2.65,0.25
5309769345706250240,1237661872419373445,4716,55738,92,A5II (34578),230.705,34.60138,22.35622,21.61273,21.54683,21.49891,21.6572,HD028343,K7V,1.363,3900,4.232,0.17
